name	identifier	identifier_source	type	type_IRI	description	licenses	version
Apollo data types - v4.0.1	bsg-s000701	The Informatics Services Group of the MIDAS research network located in the Dept of Biomedical Informatics at the University of Pittsburgh creates and maintains this identifier.	null	https://raw.githubusercontent.com/ApolloDev/apollo-xsd-and-types/master/src/main/resources/apollo_types_v4.xsd	An XSD (XML Schema Definition) for every type defined in the Apollo standard	Apache License 2.0	4.0.1
CDC Challenge Forecast	CDC Challenge Forecast format	The Informatics Services Group of the MIDAS research network located in the Dept of Biomedical Informatics at the University of Pittsburgh creates and maintains this identifier.	null	null			
Epi-Data JSON	???	The Informatics Services Group of the MIDAS research network located in the Dept of Biomedical Informatics at the University of Pittsburgh creates and maintains this identifier.	null	null		MIT	???
EpiCaseFormat	null	The Informatics Services Group of the MIDAS research network located in the Dept of Biomedical Informatics at the University of Pittsburgh creates and maintains this identifier.	null	null	This specification describes two tabular formats for representing count data for a location at a point in time.  The formats differ in that one represents locations as points using latitude and longitude, and the other format represents locations as polygons using an ID from the Apollo Location Service.	Creative Commons Attribution 3.0 United States	1.2
FASTA Sequence Format	https://biosharing.org/bsg-s000228	The Informatics Services Group of the MIDAS research network located in the Dept of Biomedical Informatics at the University of Pittsburgh creates and maintains this identifier.	null	null	FASTA format is a text-based format for representing either nucleotide sequences or peptide sequences, in which nucleotides or amino acids are represented using single-letter codes. The format also allows for sequence names and comments to precede the sequences.	No License Specified.	FASTA
Galapagos-CSV	Galapagos output format	The Informatics Services Group of the MIDAS research network located in the Dept of Biomedical Informatics at the University of Pittsburgh creates and maintains this identifier.	null	null	This specification describes a tabular format in which output from a disease transmission model is represented.	Creative Commons Attribution 3.0 United States	2
GeoJSON	(surprisingly isn't in biosharing, so let's say the identifier is GeoJSON and the identifierSource is the Informatics Services Group	The Informatics Services Group of the MIDAS research network located in the Dept of Biomedical Informatics at the University of Pittsburgh creates and maintains this identifier.	null	null	GeoJSON is a format for encoding a variety of geographic data structures.	Creative Commons Attribution 3.0 United States	RFC 7946
hladish dengue transmission model v2.0	null	The Informatics Services Group of the MIDAS research network located in the Dept of Biomedical Informatics at the University of Pittsburgh creates and maintains this identifier.	null	null	This specification describes four tabular formats named:  population-yucatan.txt, locations-yucatan.txt, immunity-yucatan.txt, network-yucatan.txt	This software was developed by Dennis Chao at the Fred Hutchinson Cancer Research Center, and Thomas Hladish at the University of Florida. Copyright 2012. This program is free software: you can redistribute it and/or modify it under the terms of the GNU General Public License as published by the Free Software Foundation, either version 3 of the License, or (at your option) any later version. This program is distributed in the hope that it will be useful, but WITHOUT ANY WARRANTY; without even the implied warranty of MERCHANTABILITY or FITNESS FOR A PARTICULAR PURPOSE.  See the GNU General Public License for more details. You should have received a copy of the GNU General Public License along with this program.  If not, see <http://www.gnu.org/licenses/>. Some of the code was probably borrowed from FluTE (www.csquid.org/software), also licensed under the GPL. The synthetic population data for the model was derived from GRUMPv1 (http://sedac.ciesin.columbia.edu/gpw/) and Thai 2000 census data as distributed by IPUMS (from https://international.ipums.org/international/) and supplied by Thailand's National Statistical Office. I assume it is ok to distribute the synthetic population with these acknowledgments unless told otherwise.	
newick tree format	https://biosharing.org/bsg-s000250	The Informatics Services Group of the MIDAS research network located in the Dept of Biomedical Informatics at the University of Pittsburgh creates and maintains this identifier.	null	null	This specification describes how to represent a tree using nested parentheses.		
Omnivore-CSV	Omnivore output format	The Informatics Services Group of the MIDAS research network located in the Dept of Biomedical Informatics at the University of Pittsburgh creates and maintains this identifier.	null	null	This specification describes a tabular format for reporting case count data.  The data are coded using standard systems, including ISO 8106 for representing time, SNOMED for identifying diseases, and Apollo XSD for identifying locations, case types, and case count types.	Creative Commons Attribution 3.0 United States	2
PHYLIP-format	PHYLIP	The Informatics Services Group of the MIDAS research network located in the Dept of Biomedical Informatics at the University of Pittsburgh creates and maintains this identifier.	null	null	This specification describes the PHYLIP-format, a format used for most input and output files used by PHYLIP, the Phylogeny Inference Package.  PHYLIP is a package of programs for inferring phylogenies (evolutionary trees). It has been distributed since 1980, and has over 30,000 registered users, making it the most widely distributed package of phylogeny programs.		3.695
SPEW.CANADA	SPEW.CANADA	The Informatics Services Group of the MIDAS research network located in the Dept of Biomedical Informatics at the University of Pittsburgh creates and maintains this identifier.	null	null	This specification describes two tabular formats:  one for households and the other for persons.		1.2.0
SPEW.IPUMS	SPEW.IPUMS	The Informatics Services Group of the MIDAS research network located in the Dept of Biomedical Informatics at the University of Pittsburgh creates and maintains this identifier.	null	null	This specification describes two tabular formats:  one for households and the other for persons.		1.2.0
SPEW.US	SPEW.US	The Informatics Services Group of the MIDAS research network located in the Dept of Biomedical Informatics at the University of Pittsburgh creates and maintains this identifier.	null	null	This specification describes four tabular formats:  for representing households, persons, schools and workplaces.		1.2.0
Synthia	Synthia	The Informatics Services Group of the MIDAS research network located in the Dept of Biomedical Informatics at the University of Pittsburgh creates and maintains this identifier.	null	null	This specification describes a tabular format that describes a nationwide synthetic population of households and persons called the 2010 U.S. Synthesized Population dataset, which was developed by RTI International. The synthetic population is a detailed, spatially-explicit representation of the socio-demographic distribution of the U.S. population in a microdata form. The data are distributed in a compressed file containing a series of ASCII files with comma separated value.	???	2010 U.S. Synthesized Population
Tycho dataset v1.0	Eventually, but not before May 15th there will be a biosharing id	The Informatics Services Group of the MIDAS research network located in the Dept of Biomedical Informatics at the University of Pittsburgh creates and maintains this identifier.	null	null	XML format for Tycho v2.0 country-condition disease surveillance datasets	https://www.tycho.pitt.edu/legal/license_agreement.html	1
